Date,Price,Open,High,Low,Vol.,Change %,MA_7,MA_30,Volatility,RSI,Prev_Price
2025-04-24,26.39,26.98,27.44,26.05,1.28M,-4.83%,27.92428571428571,26.005,0.7745075240188972,54.145638067772175,27.73
2025-04-25,26.31,26.05,27.24,25.75,911.68K,-0.30%,27.56,26.033333333333335,0.8564072240081311,63.53637901861252,26.39
2025-04-28,25.27,26.9,26.95,25.06,1.02M,-3.95%,27.177142857142854,26.036333333333335,1.1878932932677329,59.08733280881196,26.31
2025-04-29,25.17,25.01,25.55,24.75,1.49M,-0.40%,26.725714285714282,26.04733333333333,1.2740729589634554,57.18901453957997,25.27
2025-04-30,24.33,25.11,25.3,24.15,1.02M,-3.34%,26.154285714285717,26.024333333333335,1.3303866247931744,44.68468468468467,25.17
2025-05-08,21.23,23.52,24.48,21.14,2.73M,-9.62%,25.20428571428571,25.897333333333336,2.0644842547462705,27.358490566037744,24.33
2025-05-09,21.94,21.75,22.25,19.52,2.03M,3.34%,24.377142857142854,25.786333333333335,2.04367898886392,15.923566878980893,21.23
2025-05-12,24.13,24.13,24.13,24.13,393.38K,9.98%,24.05428571428572,25.740666666666666,1.841175866512654,32.97071129707112,21.94
2025-05-13,25.62,25.01,25.8,24.71,5.13M,6.17%,23.955714285714286,25.750666666666667,1.7143886873835312,37.32394366197184,24.13
2025-05-14,25.51,25.89,26.2,25.3,1.90M,-0.43%,23.990000000000002,25.755,1.7471405209656306,39.816360601001676,25.62
2025-05-15,27.52,25.9,27.75,25.6,6.40M,7.88%,24.32571428571428,25.8,2.183062505921886,47.02424687729611,25.51
2025-05-16,26.8,27.73,27.74,26.6,1.33M,-2.62%,24.678571428571427,25.851333333333333,2.375046866705507,44.661549197487794,27.52
2025-05-19,26.99,26.81,27.4,26.67,1.20M,0.71%,25.501428571428573,25.907333333333334,1.938877927835483,46.837242359630416,26.8
2025-05-20,26.32,26.77,26.85,26.0,663.17K,-2.48%,26.127142857142854,25.932666666666666,1.140258951374842,45.16792323509253,26.99
2025-05-21,27.05,26.32,27.2,26.11,1.56M,2.77%,26.544285714285714,25.994333333333334,0.7578666800710194,52.36051502145922,26.32
2025-05-22,26.64,27.08,27.35,26.5,1.26M,-1.52%,26.689999999999998,26.037666666666667,0.6393225581295354,51.15303983228511,27.05
2025-05-23,26.21,26.7,26.9,26.0,1.15M,-1.61%,26.79,26.069999999999997,0.4509988913511404,53.43065693430657,26.64
2025-05-26,25.95,26.2,26.25,25.55,345.54K,-0.99%,26.565714285714282,26.164666666666665,0.4165275958387435,52.813852813852805,26.21
2025-05-27,26.32,25.66,27.5,25.66,3.35M,1.43%,26.497142857142858,26.276666666666667,0.4110034178979263,57.43091859596716,25.95
2025-05-29,26.58,26.7,26.94,26.31,1.23M,0.99%,26.43857142857143,26.383,0.35437402893118813,75.35545023696683,26.32
2025-05-30,26.66,26.85,27.0,26.5,563.77K,0.30%,26.487142857142857,26.421333333333337,0.3586880857473683,73.79032258064517,26.58
2025-06-02,26.45,26.55,27.7,25.5,1.67M,-0.79%,26.40142857142857,26.403333333333332,0.25983511255074215,64.6095717884131,26.66
2025-06-03,26.4,26.45,26.55,26.0,559.76K,-0.19%,26.367142857142856,26.30233333333333,0.23802760944292795,55.999999999999986,26.45
2025-06-04,27.31,26.49,27.5,26.49,1.88M,3.45%,26.524285714285714,26.27266666666667,0.41460250613714944,62.328767123287655,26.4
2025-06-05,27.8,27.99,28.49,27.06,4.19M,1.79%,26.78857142857143,26.237333333333332,0.5537878225285489,52.422145328719736,27.31
