"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2025","24.33","25.11","25.30","24.15","1.02M","-3.34%"
"04/29/2025","25.17","25.01","25.55","24.75","1.49M","-0.40%"
"04/28/2025","25.27","26.90","26.95","25.06","1.02M","-3.95%"
"04/25/2025","26.31","26.05","27.24","25.75","911.68K","-0.30%"
"04/24/2025","26.39","26.98","27.44","26.05","1.28M","-4.83%"
"04/23/2025","27.73","27.99","28.30","27.60","1.21M","-0.54%"
"04/22/2025","27.88","28.49","28.50","27.80","1.21M","-1.59%"
"04/21/2025","28.33","28.64","29.25","28.15","1.92M","0.00%"
"04/18/2025","28.33","28.11","29.18","27.60","4.21M","1.36%"
"04/17/2025","27.95","28.95","29.20","27.81","4.06M","-3.15%"
"04/16/2025","28.86","28.99","30.35","28.32","10.53M","2.34%"
"04/15/2025","28.20","29.70","30.10","28.00","3.21M","-4.18%"
"04/14/2025","29.43","27.13","29.58","27.00","13.50M","9.04%"
"04/11/2025","26.99","25.00","27.90","25.00","12.37M","5.80%"
"04/10/2025","25.51","24.50","25.64","24.10","5.78M","9.06%"
"04/09/2025","23.39","22.90","23.70","21.70","3.90M","1.87%"
"04/08/2025","22.96","23.43","23.90","22.72","1.64M","-0.65%"
"04/07/2025","23.11","24.24","24.42","22.72","3.33M","-8.44%"
"04/04/2025","25.24","25.48","25.48","25.00","1.16M","-0.39%"
"04/03/2025","25.34","25.15","25.69","24.50","1.94M","0.56%"
"03/27/2025","25.20","25.62","25.62","25.01","310.46K","-1.41%"
"03/26/2025","25.56","25.50","26.00","25.21","827.40K","0.99%"
"03/25/2025","25.31","25.50","25.78","24.75","863.26K","0.20%"
"03/24/2025","25.26","26.30","26.31","25.19","1.47M","-3.48%"
"03/21/2025","26.17","25.65","27.25","25.50","3.91M","3.11%"
"03/20/2025","25.38","25.41","25.80","25.30","962.08K","0.24%"
"03/19/2025","25.32","25.50","25.63","24.99","1.32M","-0.71%"
"03/18/2025","25.50","25.26","25.58","25.26","486.68K","0.91%"
"03/17/2025","25.27","25.35","25.50","25.10","838.11K","0.92%"
"03/14/2025","25.04","25.09","25.49","25.00","539.15K","0.08%"
"03/13/2025","25.02","24.84","25.45","24.84","822.77K","0.72%"
"03/12/2025","24.84","25.11","25.20","24.80","239.89K","-1.35%"
"03/11/2025","25.18","25.35","25.50","24.91","444.42K","-1.10%"
"03/10/2025","25.46","25.76","26.00","25.12","283.54K","-1.16%"
