"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2025","27.80","27.99","28.49","27.06","4.19M","1.79%"
"06/04/2025","27.31","26.49","27.50","26.49","1.88M","3.45%"
"06/03/2025","26.40","26.45","26.55","26.00","559.76K","-0.19%"
"06/02/2025","26.45","26.55","27.70","25.50","1.67M","-0.79%"
"05/30/2025","26.66","26.85","27.00","26.50","563.77K","0.30%"
"05/29/2025","26.58","26.70","26.94","26.31","1.23M","0.99%"
"05/27/2025","26.32","25.66","27.50","25.66","3.35M","1.43%"
"05/26/2025","25.95","26.20","26.25","25.55","345.54K","-0.99%"
"05/23/2025","26.21","26.70","26.90","26.00","1.15M","-1.61%"
"05/22/2025","26.64","27.08","27.35","26.50","1.26M","-1.52%"
"05/21/2025","27.05","26.32","27.20","26.11","1.56M","2.77%"
"05/20/2025","26.32","26.77","26.85","26.00","663.17K","-2.48%"
"05/19/2025","26.99","26.81","27.40","26.67","1.20M","0.71%"
"05/16/2025","26.80","27.73","27.74","26.60","1.33M","-2.62%"
"05/15/2025","27.52","25.90","27.75","25.60","6.40M","7.88%"
"05/14/2025","25.51","25.89","26.20","25.30","1.90M","-0.43%"
"05/13/2025","25.62","25.01","25.80","24.71","5.13M","6.17%"
"05/12/2025","24.13","24.13","24.13","24.13","393.38K","9.98%"
"05/09/2025","21.94","21.75","22.25","19.52","2.03M","3.34%"
"05/08/2025","21.23","23.52","24.48","21.14","2.73M","-9.62%"
