"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2023","7.40","7.89","7.89","6.95","4.07M","-3.52%"
"05/01/2023","7.67","8.00","8.20","7.50","1.77M","-4.12%"
"04/01/2023","8.00","8.30","8.35","7.60","1.15M","-5.77%"
"03/01/2023","8.49","7.25","8.49","7.11","7.89M","15.51%"
"02/01/2023","7.35","7.85","7.95","7.21","2.79M","-6.96%"
"01/01/2023","7.90","8.15","8.49","7.20","2.78M","-3.66%"
"12/01/2022","8.20","9.80","9.85","7.91","3.28M","-15.90%"
"11/01/2022","9.75","9.65","10.74","9.51","5.10M","2.52%"
"10/01/2022","9.51","9.83","10.20","9.31","11.21M","-3.45%"
"09/01/2022","9.85","10.55","10.65","9.42","7.54M","-6.64%"
"08/01/2022","10.55","9.81","11.95","9.81","14.04M","6.57%"
"07/01/2022","9.90","10.05","10.53","9.55","2.98M","-3.79%"
"06/01/2022","10.29","11.20","11.40","9.75","13.05M","-7.46%"
"05/01/2022","11.12","12.40","12.40","10.23","5.43M","-7.79%"
"04/01/2022","12.06","12.11","13.97","11.90","9.33M","-5.04%"
"03/01/2022","12.70","12.50","13.00","11.55","8.64M","2.01%"
"02/01/2022","12.45","13.58","14.35","11.63","10.27M","-6.81%"
"01/01/2022","13.36","13.80","15.04","13.00","11.69M","-2.84%"
"12/01/2021","13.75","14.75","14.90","12.50","10.17M","-5.76%"
"11/01/2021","14.59","16.69","17.50","13.50","10.96M","-9.66%"
"10/01/2021","16.15","18.45","19.83","15.30","16.88M","-12.23%"
"09/01/2021","18.40","23.66","24.70","17.65","13.96M","-22.85%"
"08/01/2021","23.85","24.70","26.25","23.48","19.06M","-1.73%"
"07/01/2021","24.27","22.47","28.63","21.12","61.49M","9.82%"
